,betweenness_1,betweenness_2,betweenness_3,betweenness_4,betweenness_5,betweenness_6,betweenness_7,betweenness_8,betweenness_9,betweenness_10,betweenness_11,betweenness_12,betweenness_13,betweenness_14,betweenness_15,betweenness_16,betweenness_17,betweenness_18,betweenness_19,betweenness_20,betweenness_21,betweenness_22,betweenness_23,betweenness_24,betweenness_25,betweenness_26,betweenness_27,betweenness_28,betweenness_29,betweenness_30,betweenness_31,betweenness_32,betweenness_33,betweenness_34,betweenness_35,betweenness_36,betweenness_37,betweenness_38,betweenness_39,betweenness_40,betweenness_41,betweenness_42,betweenness_43,betweenness_44,betweenness_45,betweenness_46,betweenness_47,betweenness_48,betweenness_49,betweenness_50,betweenness_51,betweenness_52,betweenness_53,betweenness_54,betweenness_55,betweenness_56,betweenness_57,betweenness_58,betweenness_59,betweenness_60,betweenness_61,betweenness_62,betweenness_63,betweenness_64,betweenness_65,betweenness_66,betweenness_67,betweenness_68,betweenness_69,betweenness_70,betweenness_71,betweenness_72,betweenness_73,betweenness_74,betweenness_75,betweenness_76,betweenness_77,betweenness_78,betweenness_79,betweenness_80,betweenness_81,betweenness_82,betweenness_83,betweenness_84,betweenness_85,betweenness_86,betweenness_87,betweenness_88,betweenness_89,betweenness_90,betweenness_91,betweenness_92,betweenness_93,betweenness_94,betweenness_95,betweenness_96,betweenness_97,betweenness_98,betweenness_99,betweenness_100
181,2673,2683,3654,1619,4635,3727,3145,4089,4629,644,3706,4895,767,1297,2386,6403,4463,3685,5896,7613,5914,7097,58,7336,1885,7210,583,1443,2808,1687,4483,5874,5897,7191,6024,1774,2717,7582,7656,8120,8750,1903,8773,6130,6242,8766,6181,4219,7048,8794,2874,3348,2087,4177,6149,2459,1240,7255,3445,2333,6223,4318,2949,2810,3210,2970,6660,1914,9240,9256,5843,7059,8776,4675,8820,4265,215,2343,4673,4547,8768,7426,1982,8684,159,2276,3647,3129,6479,6146,3483,5904,9272,6316,7565,7161,6325,7450,7862,5138
182,2595,888,90,1636,2464,259,8852,8082,2821,619,9219,3056,5147,7550,8819,3775,4260,6947,5415,5619,7120,6801,4990,1179,6675,100,7995,4181,8950,7879,7488,7280,7899,5221,2923,2325,7326,2239,3757,1253,6082,2655,2908,7379,3338,6997,5290,6949,5126,3837,1274,2120,961,4188,1719,7262,3157,5015,0,6165,5185,8795,2688,6975,4433,9279,2089,4415,7381,5643,5693,8737,6544,4001,6014,2198,9139,3079,4377,4991,8065,3856,9079,2949,1961,3247,3768,335,2372,1444,5331,5103,6939,2370,7368,7332,4962,4366,7986,8821
183,2237,5165,3469,3263,8770,5330,2275,3166,5376,2807,530,5735,8233,3553,935,7467,5830,2353,7068,3369,3357,4117,2330,1649,6053,5859,8574,4755,1610,3357,515,2018,3509,5228,1686,1201,3008,6164,4909,5954,8505,3236,3886,7262,5647,7164,5774,3193,6892,8095,482,2302,7547,3336,8327,3308,616,2531,3890,4355,6026,8443,183,8672,5464,8486,3896,2035,7166,4534,8261,7346,3274,1584,8265,8433,7967,5352,26,739,5584,7589,5366,7907,7897,6120,1482,8421,5793,4203,3333,7921,6192,2424,8165,7302,6315,4703,4154,7946
184,4157,6098,5812,3065,3721,4843,3707,6059,3987,2398,405,1356,7335,1603,0,6675,3968,7326,5028,7271,1385,7847,7204,4098,3531,6131,7539,2167,566,5183,5812,3764,4513,6502,5973,3556,1811,7215,3464,3760,8814,5300,5747,8612,6226,9098,5553,6511,6997,8698,2914,5828,4281,3632,4937,2212,4523,5845,0,827,37,7006,3,3210,4340,293,4198,3192,8344,4187,5353,8836,8174,1505,294,9056,8230,3871,4935,85,8596,6010,1962,7316,4706,2850,2412,6527,6909,5251,8374,1530,6684,4307,6320,7284,8272,5939,2909,7859
185,4879,8309,7103,5138,3573,7644,3817,5793,6273,7218,5235,5955,1692,2754,3815,5303,2569,7222,2336,5540,1529,2447,5104,3125,527,2631,4629,4102,2256,2979,1490,120,4149,6558,6744,1865,5451,7121,3308,3808,8341,771,7672,2179,4802,7199,5699,8903,8382,8180,4705,7379,1911,5361,2517,6776,3846,6355,49,3574,8214,1821,4899,1673,471,5255,8346,4733,4815,7195,3652,4742,8549,834,8997,7037,3947,9189,984,5115,8238,7973,3034,5157,7980,4571,6621,2077,2600,3784,8427,67,1545,2497,8414,3099,4872,9105,8442,8140
186,2321,1900,4079,4472,4616,4881,8281,5345,71,2229,45,7558,8529,1756,6126,5257,8044,7204,1951,8044,2049,8326,8348,7271,3876,6095,6215,6073,1235,7075,8074,8507,2242,8332,2267,8334,3585,7251,6112,4312,7822,3388,5556,5524,6784,8428,7656,4863,517,7088,3796,2472,2118,4449,2287,4387,3111,657,553,1289,2057,2296,8416,3026,4192,5263,4393,3595,3006,1268,2515,7163,2823,2141,7000,7726,4522,1942,1424,8391,6120,7195,6999,2537,5235,5090,414,5296,1811,8414,8236,4619,8430,3337,4433,8438,7263,6148,1403,8258
187,8584,3852,4574,7794,7443,5641,4728,8125,7131,0,8574,57,8490,4179,2902,8656,185,5383,355,8672,5293,5199,5911,1354,469,597,3221,2503,8164,2339,8488,3769,8608,5978,2611,6065,7619,462,4327,6753,4588,2504,8273,5829,6736,6170,7759,7074,5302,5236,6052,4034,2392,5429,8694,155,6840,8281,8574,5883,5981,1,3457,3368,1744,2851,2535,3396,1317,8588,3405,5012,2977,220,2824,7886,8003,2051,6036,7535,3377,3745,8187,5298,3425,8095,5352,2428,6158,3550,8209,3894,2146,6806,2255,5880,5510,2061,565,3286
188,4742,7702,968,7417,8304,4112,6680,4425,4707,0,829,416,1347,2938,1681,5751,3288,6543,6505,5018,8208,8302,4615,738,8242,3255,2562,6781,3962,5353,4727,5343,7312,8051,5598,7691,7554,1316,5311,3480,8398,766,6896,6537,3050,6656,4711,4785,6768,8384,2060,8027,2004,6877,3818,2558,3288,5527,0,1889,4798,1758,2117,4172,6836,1395,2295,5599,7794,5574,3157,6436,3230,124,6354,8456,1596,3364,3168,7603,8101,6770,3017,1984,4660,4210,6791,6420,8383,8200,8343,1509,69,3182,6866,8093,8180,5190,3925,6549
189,7988,6192,5829,7702,5695,5111,5374,3340,2338,1522,2762,8838,4537,1723,5590,2844,8890,3101,2171,753,6727,3938,5789,8039,7334,7665,3738,3554,896,5914,1125,5852,8994,3742,3132,1445,2182,9158,7664,47,9308,4913,5948,7288,4145,7480,7214,5384,8960,7496,1513,6450,7057,5533,1985,1272,3800,2112,3871,3512,7418,1828,1616,2655,5663,3475,50,4965,7324,7516,7342,5894,5915,5609,9332,9000,8192,7958,2235,1905,4941,7456,2277,3166,8086,7154,342,478,4007,1203,5752,5882,7393,1986,4591,4608,3016,471,3261,7943
190,3565,6026,26,6791,8900,226,7352,3866,5744,5582,5970,3973,1,372,8802,7576,7776,7057,1394,6528,7175,3718,6794,1541,6895,5864,2561,6703,3166,6716,1860,8188,3994,5719,5786,5677,6998,3977,1871,3954,7407,1498,6320,6748,8174,7784,6940,1987,4205,5925,3219,5904,7427,3968,4681,460,3660,5717,3710,6835,3785,88,898,3210,8866,1902,2519,3284,3796,7380,7592,166,4746,6430,8402,8964,617,2884,3040,6164,8964,8878,5808,2402,2897,7512,6106,458,9034,7640,6385,523,7318,1237,2237,3485,3277,2666,397,7850
